Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink;;;;;;;;;;
14509;Juan Torra. Fabrica de Salchichon;Cartells;Alexandre de Riquer i Ynglada;000349-C;802;454;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513083;;;;;;;;;;
14429;Grau y Cia Fabricantes de Galletas y Bizcochos;Cartells;Alexandre de Riquer i Ynglada;000350-C;782;426;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Paper;;;http://www.wikidata.org/entity/Q27513084;;;;;;;;;;
14820;The Fine Art and General Insurance Cº LT;Cartells;Q3588337;000022-C;745;54;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513087;;;;;;;;;;
14823;The House of the Trees and other Poems;Cartells;Ethel Reed;004299-C;454;238;Secció de Cartells (MNAC);1895;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513089;;;;;;;;;;
14451;Harper's May;Cartells;Edward Penfield;000475-C;47;336;Secció de Cartells (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513091;;;;;;;;;;
14852;The Phantom Death.;Cartells;;004307-C;281;359;Secció de Cartells (MNAC);1893;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513092;;;;;;;;;;
14836;The Inland Printer. St. Valentine Number;Cartells;William Henry Bradley;004288-C;315;237;Secció de Cartells (MNAC);1895;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513093;;;;;;;;;;
14831;The Inland Printer. June 1894;Cartells;William Henry Bradley;004294-C;314;237;Secció de Cartells (MNAC);1894;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Fotogravat;;;http://www.wikidata.org/entity/Q27513096;;;;;;;;;;
14449;Harper's Magazine. Christmas 1898;Cartells;Q2656476;004353-C;42;285;Secció de Cartells (MNAC);1898;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27513097;;;;;;;;;;
14286;Copco Bathsoap;Cartells;Maxfield Parrish;004325-C;41;288;Secció de Cartells (MNAC);1896;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Paper;;;http://www.wikidata.org/entity/Q27513098;;;;;;;;;;
